metric,pvi_range,Wave,Prob,Metric Type
0.06,D+26+,None,0,Binned
0.07,D+26+,None,0,Binned
0.08,D+26+,None,0,Binned
0.09,D+26+,None,0,Binned
0.1,D+26+,None,0,Binned
0.11,D+26+,None,0,Binned
0.12,D+26+,None,0,Binned
0.13,D+26+,None,0,Binned
0.14,D+26+,None,0,Binned
0.15,D+26+,None,0,Binned
0.16,D+26+,None,0,Binned
0.17,D+26+,None,0,Binned
0.18,D+26+,None,0,Binned
0.19,D+26+,None,0,Binned
0.2,D+26+,None,0,Binned
0.21,D+26+,None,0,Binned
0.22,D+26+,None,0,Binned
0.23,D+26+,None,0,Binned
0.24,D+26+,None,0,Binned
0.25,D+25 to D+8,None,0.004449388,Binned
0.26,D+25 to D+8,None,0.004449388,Binned
0.27,D+25 to D+8,None,0.004449388,Binned
0.28,D+25 to D+8,None,0.004449388,Binned
0.29,D+25 to D+8,None,0.004449388,Binned
0.3,D+25 to D+8,None,0.004449388,Binned
0.31,D+25 to D+8,None,0.004449388,Binned
0.32,D+25 to D+8,None,0.004449388,Binned
0.33,D+25 to D+8,None,0.004449388,Binned
0.34,D+25 to D+8,None,0.004449388,Binned
0.35,D+25 to D+8,None,0.004449388,Binned
0.36,D+25 to D+8,None,0.004449388,Binned
0.37,D+25 to D+8,None,0.004449388,Binned
0.38,D+25 to D+8,None,0.004449388,Binned
0.39,D+25 to D+8,None,0.004449388,Binned
0.4,D+25 to D+8,None,0.004449388,Binned
0.41,D+25 to D+8,None,0.004449388,Binned
0.42,D+25 to D+8,None,0.004449388,Binned
0.43,D+7 to D+5,None,0.044585987,Binned
0.44,D+7 to D+5,None,0.044585987,Binned
0.45,D+7 to D+5,None,0.044585987,Binned
0.46,D+4,None,0.117647059,Binned
0.47,D+3,None,0.222222222,Binned
0.48,D+2,None,0.338709677,Binned
0.49,D+1,None,0.370967742,Binned
0.5,EVEN,None,0.402439024,Binned
0.51,R+1,None,0.591836735,Binned
0.52,R+2,None,0.653846154,Binned
0.53,R+3,None,0.688172043,Binned
0.54,R+4,None,0.788990826,Binned
0.55,R+5 to R+7,None,0.809392265,Binned
0.56,R+5 to R+7,None,0.809392265,Binned
0.57,R+5 to R+7,None,0.809392265,Binned
0.58,R+8 to R+20,None,0.953508772,Binned
0.59,R+8 to R+20,None,0.953508772,Binned
0.6,R+8 to R+20,None,0.953508772,Binned
0.61,R+8 to R+20,None,0.953508772,Binned
0.62,R+8 to R+20,None,0.953508772,Binned
0.63,R+8 to R+20,None,0.953508772,Binned
0.64,R+8 to R+20,None,0.953508772,Binned
0.65,R+8 to R+20,None,0.953508772,Binned
0.66,R+8 to R+20,None,0.953508772,Binned
0.67,R+8 to R+20,None,0.953508772,Binned
0.68,R+8 to R+20,None,0.953508772,Binned
0.69,R+8 to R+20,None,0.953508772,Binned
0.7,R+8 to R+20,None,0.953508772,Binned
0.71,R+21+,None,1,Binned
0.72,R+21+,None,1,Binned
0.73,R+21+,None,1,Binned
0.74,R+21+,None,1,Binned
0.75,R+21+,None,1,Binned
0.76,R+21+,None,1,Binned
0.77,R+21+,None,1,Binned
0.78,R+21+,None,1,Binned
0.79,R+21+,None,1,Binned
0.8,R+21+,None,1,Binned
0.81,R+21+,None,1,Binned
0.82,R+21+,None,1,Binned
0.83,R+21+,None,1,Binned
0.84,R+21+,None,1,Binned
0.85,R+21+,None,1,Binned
0.86,R+21+,None,1,Binned
0.87,R+21+,None,1,Binned
0.88,R+21+,None,1,Binned
0.89,R+21+,None,1,Binned
0.9,R+21+,None,1,Binned
0.91,R+21+,None,1,Binned
0.92,R+21+,None,1,Binned
0.93,R+21+,None,1,Binned
0.94,R+21+,None,1,Binned
0.06,D+26+,Red,0,Binned
0.07,D+26+,Red,0,Binned
0.08,D+26+,Red,0,Binned
0.09,D+26+,Red,0,Binned
0.1,D+26+,Red,0,Binned
0.11,D+26+,Red,0,Binned
0.12,D+26+,Red,0,Binned
0.13,D+26+,Red,0,Binned
0.14,D+26+,Red,0,Binned
0.15,D+26+,Red,0,Binned
0.16,D+26+,Red,0,Binned
0.17,D+26+,Red,0,Binned
0.18,D+26+,Red,0,Binned
0.19,D+26+,Red,0,Binned
0.2,D+26+,Red,0,Binned
0.21,D+26+,Red,0,Binned
0.22,D+26+,Red,0,Binned
0.23,D+26+,Red,0,Binned
0.24,D+26+,Red,0,Binned
0.25,D+25 to D+8,Red,0.005076142,Binned
0.26,D+25 to D+8,Red,0.005076142,Binned
0.27,D+25 to D+8,Red,0.005076142,Binned
0.28,D+25 to D+8,Red,0.005076142,Binned
0.29,D+25 to D+8,Red,0.005076142,Binned
0.3,D+25 to D+8,Red,0.005076142,Binned
0.31,D+25 to D+8,Red,0.005076142,Binned
0.32,D+25 to D+8,Red,0.005076142,Binned
0.33,D+25 to D+8,Red,0.005076142,Binned
0.34,D+25 to D+8,Red,0.005076142,Binned
0.35,D+25 to D+8,Red,0.005076142,Binned
0.36,D+25 to D+8,Red,0.005076142,Binned
0.37,D+25 to D+8,Red,0.005076142,Binned
0.38,D+25 to D+8,Red,0.005076142,Binned
0.39,D+25 to D+8,Red,0.005076142,Binned
0.4,D+25 to D+8,Red,0.005076142,Binned
0.41,D+25 to D+8,Red,0.005076142,Binned
0.42,D+25 to D+8,Red,0.005076142,Binned
0.43,D+7 to D+5,Red,0.034482759,Binned
0.44,D+7 to D+5,Red,0.034482759,Binned
0.45,D+7 to D+5,Red,0.034482759,Binned
0.46,D+4,Red,0.12,Binned
0.47,D+3,Red,0.294117647,Binned
0.48,D+2,Red,0.416666667,Binned
0.49,D+1,Red,0.615384615,Binned
0.5,EVEN,Red,0.666666667,Binned
0.51,R+1,Red,0.681818182,Binned
0.52,R+2,Red,0.928571429,Binned
0.53,R+3,Red,0.95,Binned
0.54,R+4,Red,0.863636364,Binned
0.55,R+5 to R+7,Red,0.887640449,Binned
0.56,R+5 to R+7,Red,0.887640449,Binned
0.57,R+5 to R+7,Red,0.887640449,Binned
0.58,R+8 to R+20,Red,0.988142292,Binned
0.59,R+8 to R+20,Red,0.988142292,Binned
0.6,R+8 to R+20,Red,0.988142292,Binned
0.61,R+8 to R+20,Red,0.988142292,Binned
0.62,R+8 to R+20,Red,0.988142292,Binned
0.63,R+8 to R+20,Red,0.988142292,Binned
0.64,R+8 to R+20,Red,0.988142292,Binned
0.65,R+8 to R+20,Red,0.988142292,Binned
0.66,R+8 to R+20,Red,0.988142292,Binned
0.67,R+8 to R+20,Red,0.988142292,Binned
0.68,R+8 to R+20,Red,0.988142292,Binned
0.69,R+8 to R+20,Red,0.988142292,Binned
0.7,R+8 to R+20,Red,0.988142292,Binned
0.71,R+21+,Red,1,Binned
0.72,R+21+,Red,1,Binned
0.73,R+21+,Red,1,Binned
0.74,R+21+,Red,1,Binned
0.75,R+21+,Red,1,Binned
0.76,R+21+,Red,1,Binned
0.77,R+21+,Red,1,Binned
0.78,R+21+,Red,1,Binned
0.79,R+21+,Red,1,Binned
0.8,R+21+,Red,1,Binned
0.81,R+21+,Red,1,Binned
0.82,R+21+,Red,1,Binned
0.83,R+21+,Red,1,Binned
0.84,R+21+,Red,1,Binned
0.85,R+21+,Red,1,Binned
0.86,R+21+,Red,1,Binned
0.87,R+21+,Red,1,Binned
0.88,R+21+,Red,1,Binned
0.89,R+21+,Red,1,Binned
0.9,R+21+,Red,1,Binned
0.91,R+21+,Red,1,Binned
0.92,R+21+,Red,1,Binned
0.93,R+21+,Red,1,Binned
0.94,R+21+,Red,1,Binned
0.06,D+26+,Blue,0,Binned
0.07,D+26+,Blue,0,Binned
0.08,D+26+,Blue,0,Binned
0.09,D+26+,Blue,0,Binned
0.1,D+26+,Blue,0,Binned
0.11,D+26+,Blue,0,Binned
0.12,D+26+,Blue,0,Binned
0.13,D+26+,Blue,0,Binned
0.14,D+26+,Blue,0,Binned
0.15,D+26+,Blue,0,Binned
0.16,D+26+,Blue,0,Binned
0.17,D+26+,Blue,0,Binned
0.18,D+26+,Blue,0,Binned
0.19,D+26+,Blue,0,Binned
0.2,D+26+,Blue,0,Binned
0.21,D+26+,Blue,0,Binned
0.22,D+26+,Blue,0,Binned
0.23,D+26+,Blue,0,Binned
0.24,D+26+,Blue,0,Binned
0.25,D+25 to D+8,Blue,0.006756757,Binned
0.26,D+25 to D+8,Blue,0.006756757,Binned
0.27,D+25 to D+8,Blue,0.006756757,Binned
0.28,D+25 to D+8,Blue,0.006756757,Binned
0.29,D+25 to D+8,Blue,0.006756757,Binned
0.3,D+25 to D+8,Blue,0.006756757,Binned
0.31,D+25 to D+8,Blue,0.006756757,Binned
0.32,D+25 to D+8,Blue,0.006756757,Binned
0.33,D+25 to D+8,Blue,0.006756757,Binned
0.34,D+25 to D+8,Blue,0.006756757,Binned
0.35,D+25 to D+8,Blue,0.006756757,Binned
0.36,D+25 to D+8,Blue,0.006756757,Binned
0.37,D+25 to D+8,Blue,0.006756757,Binned
0.38,D+25 to D+8,Blue,0.006756757,Binned
0.39,D+25 to D+8,Blue,0.006756757,Binned
0.4,D+25 to D+8,Blue,0.006756757,Binned
0.41,D+25 to D+8,Blue,0.006756757,Binned
0.42,D+25 to D+8,Blue,0.006756757,Binned
0.43,D+7 to D+5,Blue,0.051724138,Binned
0.44,D+7 to D+5,Blue,0.051724138,Binned
0.45,D+7 to D+5,Blue,0.051724138,Binned
0.46,D+4,Blue,0.04,Binned
0.47,D+3,Blue,0.155555556,Binned
0.48,D+2,Blue,0.24,Binned
0.49,D+1,Blue,0.227272727,Binned
0.5,EVEN,Blue,0.275862069,Binned
0.51,R+1,Blue,0.424242424,Binned
0.52,R+2,Blue,0.363636364,Binned
0.53,R+3,Blue,0.527777778,Binned
0.54,R+4,Blue,0.621621622,Binned
0.55,R+5 to R+7,Blue,0.65625,Binned
0.56,R+5 to R+7,Blue,0.65625,Binned
0.57,R+5 to R+7,Blue,0.65625,Binned
0.58,R+8 to R+20,Blue,0.901333333,Binned
0.59,R+8 to R+20,Blue,0.901333333,Binned
0.6,R+8 to R+20,Blue,0.901333333,Binned
0.61,R+8 to R+20,Blue,0.901333333,Binned
0.62,R+8 to R+20,Blue,0.901333333,Binned
0.63,R+8 to R+20,Blue,0.901333333,Binned
0.64,R+8 to R+20,Blue,0.901333333,Binned
0.65,R+8 to R+20,Blue,0.901333333,Binned
0.66,R+8 to R+20,Blue,0.901333333,Binned
0.67,R+8 to R+20,Blue,0.901333333,Binned
0.68,R+8 to R+20,Blue,0.901333333,Binned
0.69,R+8 to R+20,Blue,0.901333333,Binned
0.7,R+8 to R+20,Blue,0.901333333,Binned
0.71,R+21+,Blue,1,Binned
0.72,R+21+,Blue,1,Binned
0.73,R+21+,Blue,1,Binned
0.74,R+21+,Blue,1,Binned
0.75,R+21+,Blue,1,Binned
0.76,R+21+,Blue,1,Binned
0.77,R+21+,Blue,1,Binned
0.78,R+21+,Blue,1,Binned
0.79,R+21+,Blue,1,Binned
0.8,R+21+,Blue,1,Binned
0.81,R+21+,Blue,1,Binned
0.82,R+21+,Blue,1,Binned
0.83,R+21+,Blue,1,Binned
0.84,R+21+,Blue,1,Binned
0.85,R+21+,Blue,1,Binned
0.86,R+21+,Blue,1,Binned
0.87,R+21+,Blue,1,Binned
0.88,R+21+,Blue,1,Binned
0.89,R+21+,Blue,1,Binned
0.9,R+21+,Blue,1,Binned
0.91,R+21+,Blue,1,Binned
0.92,R+21+,Blue,1,Binned
0.93,R+21+,Blue,1,Binned
0.94,R+21+,Blue,1,Binned
0.06,D+26+,None,0,Average
0.07,D+26+,None,0,Average
0.08,D+26+,None,0,Average
0.09,D+26+,None,0,Average
0.1,D+26+,None,0,Average
0.11,D+26+,None,0,Average
0.12,D+26+,None,0,Average
0.13,D+26+,None,0,Average
0.14,D+26+,None,0,Average
0.15,D+26+,None,0,Average
0.16,D+26+,None,0,Average
0.17,D+26+,None,0,Average
0.18,D+26+,None,0,Average
0.19,D+26+,None,0,Average
0.2,D+26+,None,0,Average
0.21,D+26+,None,0,Average
0.22,D+26+,None,0,Average
0.23,D+26+,None,0,Average
0.24,D+26+,None,0,Average
0.25,D+25 to D+8,None,0.035714286,Average
0.26,D+25 to D+8,None,0,Average
0.27,D+25 to D+8,None,0,Average
0.28,D+25 to D+8,None,0,Average
0.29,D+25 to D+8,None,0,Average
0.3,D+25 to D+8,None,0,Average
0.31,D+25 to D+8,None,0,Average
0.32,D+25 to D+8,None,0,Average
0.33,D+25 to D+8,None,0,Average
0.34,D+25 to D+8,None,0,Average
0.35,D+25 to D+8,None,0,Average
0.36,D+25 to D+8,None,0,Average
0.37,D+25 to D+8,None,0,Average
0.38,D+25 to D+8,None,0,Average
0.39,D+25 to D+8,None,0.01754386,Average
0.4,D+25 to D+8,None,0,Average
0.41,D+25 to D+8,None,0,Average
0.42,D+25 to D+8,None,0.02173913,Average
0.43,D+7 to D+5,None,0.055555556,Average
0.44,D+7 to D+5,None,0.035294118,Average
0.45,D+7 to D+5,None,0.117647059,Average
0.46,D+4,None,0.1875,Average
0.47,D+3,None,0.253521127,Average
0.48,D+2,None,0.338709677,Average
0.49,D+1,None,0.370967742,Average
0.5,EVEN,None,0.402439024,Average
0.51,R+1,None,0.591836735,Average
0.52,R+2,None,0.653846154,Average
0.53,R+3,None,0.688172043,Average
0.54,R+4,None,0.788990826,Average
0.55,R+5 to R+7,None,0.817391304,Average
0.56,R+5 to R+7,None,0.77852349,Average
0.57,R+5 to R+7,None,0.846938776,Average
0.58,R+8 to R+20,None,0.929292929,Average
0.59,R+8 to R+20,None,0.954198473,Average
0.6,R+8 to R+20,None,0.936363636,Average
0.61,R+8 to R+20,None,0.961165049,Average
0.62,R+8 to R+20,None,0.954545455,Average
0.63,R+8 to R+20,None,0.946428571,Average
0.64,R+8 to R+20,None,0.95,Average
0.65,R+8 to R+20,None,0.965517241,Average
0.66,R+8 to R+20,None,0.948051948,Average
0.67,R+8 to R+20,None,0.971014493,Average
0.68,R+8 to R+20,None,0.953125,Average
0.69,R+8 to R+20,None,1,Average
0.7,R+8 to R+20,None,0.955555556,Average
0.71,R+21+,None,1,Average
0.72,R+21+,None,1,Average
0.73,R+21+,None,1,Average
0.74,R+21+,None,1,Average
0.75,R+21+,None,1,Average
0.76,R+21+,None,1,Average
0.77,R+21+,None,1,Average
0.78,R+21+,None,1,Average
0.79,R+21+,None,1,Average
0.8,R+21+,None,1,Average
0.81,R+21+,None,1,Average
0.82,R+21+,None,1,Average
0.83,R+21+,None,1,Average
0.84,R+21+,None,1,Average
0.85,R+21+,None,1,Average
0.86,R+21+,None,1,Average
0.87,R+21+,None,1,Average
0.88,R+21+,None,1,Average
0.89,R+21+,None,1,Average
0.9,R+21+,None,1,Average
0.91,R+21+,None,1,Average
0.92,R+21+,None,1,Average
0.93,R+21+,None,1,Average
0.94,R+21+,None,1,Average
0.06,D+26+,Red,0,Average
0.07,D+26+,Red,0,Average
0.08,D+26+,Red,0,Average
0.09,D+26+,Red,0,Average
0.1,D+26+,Red,0,Average
0.11,D+26+,Red,0,Average
0.12,D+26+,Red,0,Average
0.13,D+26+,Red,0,Average
0.14,D+26+,Red,0,Average
0.15,D+26+,Red,0,Average
0.16,D+26+,Red,0,Average
0.17,D+26+,Red,0,Average
0.18,D+26+,Red,0,Average
0.19,D+26+,Red,0,Average
0.2,D+26+,Red,0,Average
0.21,D+26+,Red,0,Average
0.22,D+26+,Red,0,Average
0.23,D+26+,Red,0,Average
0.24,D+26+,Red,0,Average
0.25,D+25 to D+8,Red,0,Average
0.26,D+25 to D+8,Red,0,Average
0.27,D+25 to D+8,Red,0,Average
0.28,D+25 to D+8,Red,0,Average
0.29,D+25 to D+8,Red,0,Average
0.3,D+25 to D+8,Red,0,Average
0.31,D+25 to D+8,Red,0,Average
0.32,D+25 to D+8,Red,0,Average
0.33,D+25 to D+8,Red,0,Average
0.34,D+25 to D+8,Red,0,Average
0.35,D+25 to D+8,Red,0,Average
0.36,D+25 to D+8,Red,0,Average
0.37,D+25 to D+8,Red,0,Average
0.38,D+25 to D+8,Red,0,Average
