metric,pvi_range,Wave,Prob,Metric Type
0.39,D+25 to D+8,Red,0,Average
0.4,D+25 to D+8,Red,0,Average
0.41,D+25 to D+8,Red,0,Average
0.42,D+25 to D+8,Red,0.041666667,Average
0.43,D+7 to D+5,Red,0,Average
0.44,D+7 to D+5,Red,0.066666667,Average
0.45,D+7 to D+5,Red,0.12,Average
0.46,D+4,Red,0.176470588,Average
0.47,D+3,Red,0.411764706,Average
0.48,D+2,Red,0.416666667,Average
0.49,D+1,Red,0.615384615,Average
0.5,EVEN,Red,0.666666667,Average
0.51,R+1,Red,0.681818182,Average
0.52,R+2,Red,0.928571429,Average
0.53,R+3,Red,0.95,Average
0.54,R+4,Red,0.863636364,Average
0.55,R+5 to R+7,Red,0.92,Average
0.56,R+5 to R+7,Red,0.833333333,Average
0.57,R+5 to R+7,Red,0.954545455,Average
0.58,R+8 to R+20,Red,1,Average
0.59,R+8 to R+20,Red,0.964285714,Average
0.6,R+8 to R+20,Red,1,Average
0.61,R+8 to R+20,Red,1,Average
0.62,R+8 to R+20,Red,1,Average
0.63,R+8 to R+20,Red,1,Average
0.64,R+8 to R+20,Red,0.964285714,Average
0.65,R+8 to R+20,Red,0.95,Average
0.66,R+8 to R+20,Red,1,Average
0.67,R+8 to R+20,Red,1,Average
0.68,R+8 to R+20,Red,1,Average
0.69,R+8 to R+20,Red,1,Average
0.7,R+8 to R+20,Red,1,Average
0.71,R+21+,Red,1,Average
0.72,R+21+,Red,1,Average
0.73,R+21+,Red,1,Average
0.74,R+21+,Red,1,Average
0.75,R+21+,Red,1,Average
0.76,R+21+,Red,1,Average
0.77,R+21+,Red,1,Average
0.78,R+21+,Red,1,Average
0.79,R+21+,Red,1,Average
0.8,R+21+,Red,1,Average
0.81,R+21+,Red,1,Average
0.82,R+21+,Red,1,Average
0.83,R+21+,Red,1,Average
0.84,R+21+,Red,1,Average
0.85,R+21+,Red,1,Average
0.86,R+21+,Red,1,Average
0.87,R+21+,Red,1,Average
0.88,R+21+,Red,1,Average
0.89,R+21+,Red,1,Average
0.9,R+21+,Red,1,Average
0.91,R+21+,Red,1,Average
0.92,R+21+,Red,1,Average
0.93,R+21+,Red,1,Average
0.94,R+21+,Red,1,Average
0.06,D+26+,Blue,0,Average
0.07,D+26+,Blue,0,Average
0.08,D+26+,Blue,0,Average
0.09,D+26+,Blue,0,Average
0.1,D+26+,Blue,0,Average
0.11,D+26+,Blue,0,Average
0.12,D+26+,Blue,0,Average
0.13,D+26+,Blue,0,Average
0.14,D+26+,Blue,0,Average
0.15,D+26+,Blue,0,Average
0.16,D+26+,Blue,0,Average
0.17,D+26+,Blue,0,Average
0.18,D+26+,Blue,0,Average
0.19,D+26+,Blue,0,Average
0.2,D+26+,Blue,0,Average
0.21,D+26+,Blue,0,Average
0.22,D+26+,Blue,0,Average
0.23,D+26+,Blue,0,Average
0.24,D+26+,Blue,0,Average
0.25,D+25 to D+8,Blue,0.111111111,Average
0.26,D+25 to D+8,Blue,0,Average
0.27,D+25 to D+8,Blue,0,Average
0.28,D+25 to D+8,Blue,0,Average
0.29,D+25 to D+8,Blue,0,Average
0.3,D+25 to D+8,Blue,0,Average
0.31,D+25 to D+8,Blue,0,Average
0.32,D+25 to D+8,Blue,0,Average
0.33,D+25 to D+8,Blue,0,Average
0.34,D+25 to D+8,Blue,0,Average
0.35,D+25 to D+8,Blue,0,Average
0.36,D+25 to D+8,Blue,0,Average
0.37,D+25 to D+8,Blue,0,Average
0.38,D+25 to D+8,Blue,0,Average
0.39,D+25 to D+8,Blue,0.052631579,Average
0.4,D+25 to D+8,Blue,0,Average
0.41,D+25 to D+8,Blue,0,Average
0.42,D+25 to D+8,Blue,0,Average
0.43,D+7 to D+5,Blue,0.074074074,Average
0.44,D+7 to D+5,Blue,0.032258065,Average
0.45,D+7 to D+5,Blue,0.04,Average
0.46,D+4,Blue,0.157894737,Average
0.47,D+3,Blue,0.153846154,Average
0.48,D+2,Blue,0.24,Average
0.49,D+1,Blue,0.227272727,Average
0.5,EVEN,Blue,0.275862069,Average
0.51,R+1,Blue,0.424242424,Average
0.52,R+2,Blue,0.363636364,Average
0.53,R+3,Blue,0.527777778,Average
0.54,R+4,Blue,0.621621622,Average
0.55,R+5 to R+7,Blue,0.65,Average
0.56,R+5 to R+7,Blue,0.634615385,Average
0.57,R+5 to R+7,Blue,0.694444444,Average
0.58,R+8 to R+20,Blue,0.8125,Average
0.59,R+8 to R+20,Blue,0.916666667,Average
0.6,R+8 to R+20,Blue,0.823529412,Average
0.61,R+8 to R+20,Blue,0.9375,Average
0.62,R+8 to R+20,Blue,0.92,Average
0.63,R+8 to R+20,Blue,0.880952381,Average
0.64,R+8 to R+20,Blue,0.909090909,Average
0.65,R+8 to R+20,Blue,0.933333333,Average
0.66,R+8 to R+20,Blue,0.923076923,Average
0.67,R+8 to R+20,Blue,0.96,Average
0.68,R+8 to R+20,Blue,0.9,Average
0.69,R+8 to R+20,Blue,1,Average
0.7,R+8 to R+20,Blue,0.846153846,Average
0.71,R+21+,Blue,1,Average
0.72,R+21+,Blue,1,Average
0.73,R+21+,Blue,1,Average
0.74,R+21+,Blue,1,Average
0.75,R+21+,Blue,1,Average
0.76,R+21+,Blue,1,Average
0.77,R+21+,Blue,1,Average
0.78,R+21+,Blue,1,Average
0.79,R+21+,Blue,1,Average
0.8,R+21+,Blue,1,Average
0.81,R+21+,Blue,1,Average
0.82,R+21+,Blue,1,Average
0.83,R+21+,Blue,1,Average
0.84,R+21+,Blue,1,Average
0.85,R+21+,Blue,1,Average
0.86,R+21+,Blue,1,Average
0.87,R+21+,Blue,1,Average
0.88,R+21+,Blue,1,Average
0.89,R+21+,Blue,1,Average
0.9,R+21+,Blue,1,Average
0.91,R+21+,Blue,1,Average
0.92,R+21+,Blue,1,Average
0.93,R+21+,Blue,1,Average
0.94,R+21+,Blue,1,Average
0.06,D+26+,None,0,Logit
0.07,D+26+,None,0,Logit
0.08,D+26+,None,0,Logit
0.09,D+26+,None,0,Logit
0.1,D+26+,None,0,Logit
0.11,D+26+,None,0,Logit
0.12,D+26+,None,0,Logit
0.13,D+26+,None,0,Logit
0.14,D+26+,None,0,Logit
0.15,D+26+,None,0,Logit
0.16,D+26+,None,0,Logit
0.17,D+26+,None,0,Logit
0.18,D+26+,None,0,Logit
0.19,D+26+,None,0.0001,Logit
0.2,D+26+,None,0.0001,Logit
0.21,D+26+,None,0.0001,Logit
0.22,D+26+,None,0.0001,Logit
0.23,D+26+,None,0.0002,Logit
0.24,D+26+,None,0.0003,Logit
0.25,D+25 to D+8,None,0.0004,Logit
0.26,D+25 to D+8,None,0.0005,Logit
0.27,D+25 to D+8,None,0.0007,Logit
0.28,D+25 to D+8,None,0.0009,Logit
0.29,D+25 to D+8,None,0.0012,Logit
0.3,D+25 to D+8,None,0.0016,Logit
0.31,D+25 to D+8,None,0.0022,Logit
0.32,D+25 to D+8,None,0.003,Logit
0.33,D+25 to D+8,None,0.0041,Logit
0.34,D+25 to D+8,None,0.0056,Logit
0.35,D+25 to D+8,None,0.0075,Logit
0.36,D+25 to D+8,None,0.0102,Logit
0.37,D+25 to D+8,None,0.0138,Logit
0.38,D+25 to D+8,None,0.0186,Logit
0.39,D+25 to D+8,None,0.025,Logit
0.4,D+25 to D+8,None,0.0337,Logit
0.41,D+25 to D+8,None,0.0451,Logit
0.42,D+25 to D+8,None,0.0603,Logit
0.43,D+7 to D+5,None,0.08,Logit
0.44,D+7 to D+5,None,0.1056,Logit
0.45,D+7 to D+5,None,0.138,Logit
0.46,D+4,None,0.1785,Logit
0.47,D+3,None,0.2277,Logit
0.48,D+2,None,0.2857,Logit
0.49,D+1,None,0.3518,Logit
0.5,EVEN,None,0.424,Logit
0.51,R+1,None,0.4997,Logit
0.52,R+2,None,0.5754,Logit
0.53,R+3,None,0.6477,Logit
0.54,R+4,None,0.7138,Logit
0.55,R+5 to R+7,None,0.7719,Logit
0.56,R+5 to R+7,None,0.8211,Logit
0.57,R+5 to R+7,None,0.8617,Logit
0.58,R+8 to R+20,None,0.8942,Logit
0.59,R+8 to R+20,None,0.9198,Logit
0.6,R+8 to R+20,None,0.9396,Logit
0.61,R+8 to R+20,None,0.9548,Logit
0.62,R+8 to R+20,None,0.9663,Logit
0.63,R+8 to R+20,None,0.9749,Logit
0.64,R+8 to R+20,None,0.9814,Logit
0.65,R+8 to R+20,None,0.9862,Logit
0.66,R+8 to R+20,None,0.9898,Logit
0.67,R+8 to R+20,None,0.9925,Logit
0.68,R+8 to R+20,None,0.9944,Logit
0.69,R+8 to R+20,None,0.9959,Logit
0.7,R+8 to R+20,None,0.997,Logit
0.71,R+21+,None,0.9978,Logit
0.72,R+21+,None,0.9983,Logit
0.73,R+21+,None,0.9988,Logit
0.74,R+21+,None,0.9991,Logit
0.75,R+21+,None,0.9993,Logit
0.76,R+21+,None,0.9995,Logit
0.77,R+21+,None,0.9996,Logit
0.78,R+21+,None,0.9997,Logit
0.79,R+21+,None,0.9998,Logit
0.8,R+21+,None,0.9999,Logit
0.81,R+21+,None,0.9999,Logit
0.82,R+21+,None,0.9999,Logit
0.83,R+21+,None,0.9999,Logit
0.84,R+21+,None,1,Logit
0.85,R+21+,None,1,Logit
0.86,R+21+,None,1,Logit
0.87,R+21+,None,1,Logit
0.88,R+21+,None,1,Logit
0.89,R+21+,None,1,Logit
0.9,R+21+,None,1,Logit
0.91,R+21+,None,1,Logit
0.92,R+21+,None,1,Logit
0.93,R+21+,None,1,Logit
0.94,R+21+,None,1,Logit
0.06,D+26+,Red,0,Logit
0.07,D+26+,Red,0,Logit
0.08,D+26+,Red,0,Logit
0.09,D+26+,Red,0,Logit
0.1,D+26+,Red,0,Logit
0.11,D+26+,Red,0,Logit
0.12,D+26+,Red,0,Logit
0.13,D+26+,Red,0,Logit
0.14,D+26+,Red,0,Logit
0.15,D+26+,Red,0,Logit
0.16,D+26+,Red,0,Logit
0.17,D+26+,Red,0,Logit
0.18,D+26+,Red,0,Logit
0.19,D+26+,Red,0,Logit
0.2,D+26+,Red,0,Logit
0.21,D+26+,Red,0,Logit
0.22,D+26+,Red,0,Logit
0.23,D+26+,Red,0,Logit
0.24,D+26+,Red,0,Logit
0.25,D+25 to D+8,Red,0.0001,Logit
0.26,D+25 to D+8,Red,0.0001,Logit
0.27,D+25 to D+8,Red,0.0001,Logit
0.28,D+25 to D+8,Red,0.0002,Logit
0.29,D+25 to D+8,Red,0.0003,Logit
0.3,D+25 to D+8,Red,0.0005,Logit
0.31,D+25 to D+8,Red,0.0007,Logit
0.32,D+25 to D+8,Red,0.001,Logit
0.33,D+25 to D+8,Red,0.0016,Logit
0.34,D+25 to D+8,Red,0.0023,Logit
0.35,D+25 to D+8,Red,0.0035,Logit
0.36,D+25 to D+8,Red,0.0052,Logit
0.37,D+25 to D+8,Red,0.0077,Logit
0.38,D+25 to D+8,Red,0.0115,Logit
0.39,D+25 to D+8,Red,0.0172,Logit
0.4,D+25 to D+8,Red,0.0254,Logit
0.41,D+25 to D+8,Red,0.0376,Logit
0.42,D+25 to D+8,Red,0.0552,Logit
0.43,D+7 to D+5,Red,0.0804,Logit
0.44,D+7 to D+5,Red,0.1156,Logit
0.45,D+7 to D+5,Red,0.1635,Logit
0.46,D+4,Red,0.2263,Logit
0.47,D+3,Red,0.3044,Logit
0.48,D+2,Red,0.3956,Logit
0.49,D+1,Red,0.4947,Logit
0.5,EVEN,Red,0.5942,Logit
0.51,R+1,Red,0.6866,Logit
0.52,R+2,Red,0.7662,Logit
0.53,R+3,Red,0.8305,Logit
0.54,R+4,Red,0.88,Logit
0.55,R+5 to R+7,Red,0.9164,Logit
0.56,R+5 to R+7,Red,0.9425,Logit
0.57,R+5 to R+7,Red,0.9608,Logit
0.58,R+8 to R+20,Red,0.9735,Logit
0.59,R+8 to R+20,Red,0.9821,Logit
0.6,R+8 to R+20,Red,0.988,Logit
0.61,R+8 to R+20,Red,0.9919,Logit
0.62,R+8 to R+20,Red,0.9946,Logit
0.63,R+8 to R+20,Red,0.9964,Logit
0.64,R+8 to R+20,Red,0.9976,Logit
0.65,R+8 to R+20,Red,0.9984,Logit
0.66,R+8 to R+20,Red,0.9989,Logit
0.67,R+8 to R+20,Red,0.9993,Logit
0.68,R+8 to R+20,Red,0.9995,Logit
0.69,R+8 to R+20,Red,0.9997,Logit
0.7,R+8 to R+20,Red,0.9998,Logit
0.71,R+21+,Red,0.9999,Logit
0.72,R+21+,Red,0.9999,Logit
0.73,R+21+,Red,0.9999,Logit
0.74,R+21+,Red,1,Logit
0.75,R+21+,Red,1,Logit
0.76,R+21+,Red,1,Logit
0.77,R+21+,Red,1,Logit
0.78,R+21+,Red,1,Logit
0.79,R+21+,Red,1,Logit
0.8,R+21+,Red,1,Logit
0.81,R+21+,Red,1,Logit
0.82,R+21+,Red,1,Logit
0.83,R+21+,Red,1,Logit
0.84,R+21+,Red,1,Logit
0.85,R+21+,Red,1,Logit
0.86,R+21+,Red,1,Logit
0.87,R+21+,Red,1,Logit
0.88,R+21+,Red,1,Logit
0.89,R+21+,Red,1,Logit
0.9,R+21+,Red,1,Logit
0.91,R+21+,Red,1,Logit
0.92,R+21+,Red,1,Logit
0.93,R+21+,Red,1,Logit
0.94,R+21+,Red,1,Logit
0.06,D+26+,Blue,0,Logit
0.07,D+26+,Blue,0,Logit
0.08,D+26+,Blue,0,Logit
0.09,D+26+,Blue,0,Logit
0.1,D+26+,Blue,0,Logit
0.11,D+26+,Blue,0,Logit
0.12,D+26+,Blue,0,Logit
0.13,D+26+,Blue,0,Logit
0.14,D+26+,Blue,0,Logit
0.15,D+26+,Blue,0.0001,Logit
0.16,D+26+,Blue,0.0001,Logit
0.17,D+26+,Blue,0.0001,Logit
0.18,D+26+,Blue,0.0001,Logit
0.19,D+26+,Blue,0.0001,Logit
0.2,D+26+,Blue,0.0002,Logit
0.21,D+26+,Blue,0.0002,Logit
0.22,D+26+,Blue,0.0003,Logit
0.23,D+26+,Blue,0.0004,Logit
0.24,D+26+,Blue,0.0005,Logit
0.25,D+25 to D+8,Blue,0.0007,Logit
0.26,D+25 to D+8,Blue,0.0009,Logit
0.27,D+25 to D+8,Blue,0.0011,Logit
0.28,D+25 to D+8,Blue,0.0015,Logit
0.29,D+25 to D+8,Blue,0.0019,Logit
0.3,D+25 to D+8,Blue,0.0024,Logit
0.31,D+25 to D+8,Blue,0.0032,Logit
0.32,D+25 to D+8,Blue,0.0041,Logit
0.33,D+25 to D+8,Blue,0.0053,Logit
0.34,D+25 to D+8,Blue,0.0068,Logit
0.35,D+25 to D+8,Blue,0.0088,Logit
0.36,D+25 to D+8,Blue,0.0114,Logit
0.37,D+25 to D+8,Blue,0.0146,Logit
0.38,D+25 to D+8,Blue,0.0188,Logit
0.39,D+25 to D+8,Blue,0.0242,Logit
0.4,D+25 to D+8,Blue,0.0311,Logit
0.41,D+25 to D+8,Blue,0.0399,Logit
0.42,D+25 to D+8,Blue,0.051,Logit
0.43,D+7 to D+5,Blue,0.065,Logit
0.44,D+7 to D+5,Blue,0.0825,Logit
0.45,D+7 to D+5,Blue,0.1042,Logit
0.46,D+4,Blue,0.1307,Logit
0.47,D+3,Blue,0.1628,Logit
0.48,D+2,Blue,0.201,Logit
0.49,D+1,Blue,0.2455,Logit
0.5,EVEN,Blue,0.2962,Logit
0.51,R+1,Blue,0.3524,Logit
0.52,R+2,Blue,0.4131,Logit
0.53,R+3,Blue,0.4766,Logit
0.54,R+4,Blue,0.5408,Logit
0.55,R+5 to R+7,Blue,0.6036,Logit
0.56,R+5 to R+7,Blue,0.6633,Logit
0.57,R+5 to R+7,Blue,0.7181,Logit
0.58,R+8 to R+20,Blue,0.7672,Logit
0.59,R+8 to R+20,Blue,0.8099,Logit
0.6,R+8 to R+20,Blue,0.8464,Logit
0.61,R+8 to R+20,Blue,0.877,Logit
0.62,R+8 to R+20,Blue,0.9022,Logit
0.63,R+8 to R+20,Blue,0.9226,Logit
0.64,R+8 to R+20,Blue,0.9391,Logit
0.65,R+8 to R+20,Blue,0.9523,Logit
0.66,R+8 to R+20,Blue,0.9627,Logit
0.67,R+8 to R+20,Blue,0.9709,Logit
0.68,R+8 to R+20,Blue,0.9774,Logit
0.69,R+8 to R+20,Blue,0.9824,Logit
0.7,R+8 to R+20,Blue,0.9863,Logit
0.71,R+21+,Blue,0.9894,Logit
0.72,R+21+,Blue,0.9918,Logit
0.73,R+21+,Blue,0.9936,Logit
0.74,R+21+,Blue,0.9951,Logit
0.75,R+21+,Blue,0.9962,Logit
0.76,R+21+,Blue,0.997,Logit
0.77,R+21+,Blue,0.9977,Logit
0.78,R+21+,Blue,0.9982,Logit
0.79,R+21+,Blue,0.9986,Logit
0.8,R+21+,Blue,0.9989,Logit
0.81,R+21+,Blue,0.9992,Logit
0.82,R+21+,Blue,0.9994,Logit
0.83,R+21+,Blue,0.9995,Logit
0.84,R+21+,Blue,0.9996,Logit
0.85,R+21+,Blue,0.9997,Logit
0.86,R+21+,Blue,0.9998,Logit
0.87,R+21+,Blue,0.9998,Logit
0.88,R+21+,Blue,0.9999,Logit
0.89,R+21+,Blue,0.9999,Logit
0.9,R+21+,Blue,0.9999,Logit
0.91,R+21+,Blue,0.9999,Logit
0.92,R+21+,Blue,1,Logit
0.93,R+21+,Blue,1,Logit
0.94,R+21+,Blue,1,Logit