CD Num,State Fips,X,Y
2,6,1,11
5,6,1,12
12,6,1,13
14,6,1,14
20,6,1,15
6,53,2,5
3,53,2,6
1,41,2,8
5,41,2,9
1,6,2,11
6,6,2,12
13,6,2,13
18,6,2,14
17,6,2,15
24,6,2,16
26,6,2,17
33,6,2,18
43,6,2,19
44,6,2,20
47,6,2,21
0,2,2,28
2,53,3,5
10,53,3,6
3,41,3,8
4,41,3,9
3,6,3,11
7,6,3,12
11,6,3,13
15,6,3,14
19,6,3,15
30,6,3,16
29,6,3,17
37,6,3,18
34,6,3,19
40,6,3,20
46,6,3,21
48,6,3,22
1,53,4,4
7,53,4,5
9,53,4,6
2,41,4,9
4,6,4,11
9,6,4,12
10,6,4,13
16,6,4,14
21,6,4,15
22,6,4,16
23,6,4,17
28,6,4,18
25,6,4,19
38,6,4,20
45,6,4,21
35,6,4,22
49,6,4,23
8,53,5,4
4,53,5,5
5,53,5,6
27,6,5,18
32,6,5,19
39,6,5,20
31,6,5,21
41,6,5,22
52,6,5,23
53,6,5,24
2,32,6,13
1,32,6,14
8,6,6,22
42,6,6,23
50,6,6,24
1,15,6,28
4,32,7,13
3,32,7,14
4,4,7,18
7,4,7,19
3,4,7,20
36,6,7,23
51,6,7,24
2,15,7,29
1,16,8,9
2,16,8,10
8,4,8,18
6,4,8,19
9,4,8,20
1,49,9,14
2,49,9,15
1,4,9,18
5,4,9,19
2,4,9,20
0,30,10,5
4,49,10,14
3,49,10,15
16,48,10,24
0,56,11,8
23,48,11,24
25,48,11,25
21,48,11,26
7,8,12,13
5,8,12,14
3,8,12,15
1,35,12,18
2,35,12,19
19,48,12,22
11,48,12,23
33,48,12,24
12,48,12,25
31,48,12,26
35,48,12,27
20,48,12,28
2,8,13,12
6,8,13,13
1,8,13,14
4,8,13,15
3,35,13,18
13,48,13,22
26,48,13,23
24,48,13,24
30,48,13,25
17,48,13,26
9,48,13,27
10,48,13,28
28,48,13,29
0,38,14,6
0,46,14,8
3,48,14,23
32,48,14,24
7,48,14,25
18,48,14,26
22,48,14,27
15,48,14,28
34,48,14,29
3,31,14,10
1,31,15,10
2,31,15,11
3,40,14,20
5,40,15,20
4,40,15,21
1,40,16,20
2,40,16,21
4,48,15,23
6,48,15,24
2,48,15,25
29,48,15,26
27,48,15,27
1,48,16,23
5,48,16,24
8,48,16,25
36,48,16,26
14,48,16,27
1,20,15,16
4,20,15,17
3,20,16,16
2,20,16,17
7,27,17,6
6,27,17,7
5,27,17,8
1,27,17,9
4,19,17,11
3,19,17,12
8,27,18,6
3,27,18,7
4,27,18,8
2,27,18,9
1,19,18,11
2,19,18,12
5,29,18,18
4,29,18,19
7,29,18,20
6,29,19,18
3,29,19,19
8,29,19,20
1,29,20,19
2,29,20,20
18,17,20,15
14,17,20,14
6,17,20,13
17,17,20,12
16,17,21,11
10,17,21,12
8,17,21,13
3,17,21,14
11,17,21,15
13,17,21,16
12,17,21,17
9,17,22,11
5,17,22,12
4,17,22,13
7,17,22,14
1,17,22,15
2,17,22,16
5,17,22,17
7,55,20,7
3,55,20,8
8,55,21,7
5,55,21,8
2,55,21,9
6,55,22,7
4,55,22,8
1,55,22,9
3,5,18,22
4,5,18,23
1,5,19,22
2,5,19,23
4,22,18,25
3,22,18,26
6,22,18,27
5,22,19,26
2,22,19,27
1,22,20,27
9,47,22,21
8,47,23,20
7,47,23,21
5,47,24,20
4,47,24,21
6,47,25,20
3,47,25,21
2,47,26,20
1,47,27,20
1,21,24,18
2,21,25,18
3,21,26,17
6,21,26,18
4,21,27,17
5,21,27,18
2,23,42,-1
1,23,42,0
2,33,40,-1
1,33,40,0
1,26,23,5
2,26,24,6
4,26,24,7
3,26,24,8
6,26,24,9
5,26,25,6
8,26,25,7
11,26,25,8
7,26,25,9
10,26,26,6
14,26,26,7
9,26,26,8
12,26,26,9
13,26,27,8
2,54,29,17
3,54,29,18
1,54,30,17
8,18,24,16
9,18,24,15
6,18,25,15
7,18,24,14
5,18,25,14
4,18,24,13
2,18,25,13
1,18,24,12
3,18,25,12
5,39,27,11
8,39,27,12
4,39,27,13
1,39,27,14
9,39,28,12
3,39,28,13
10,39,28,14
2,39,28,15
11,39,29,12
16,39,29,13
12,39,29,14
15,39,29,15
14,39,30,11
13,39,30,12
7,39,30,13
6,39,30,14
9,51,32,18
6,51,33,17
5,51,33,18
10,51,34,16
7,51,34,17
4,51,34,18
11,51,35,17
8,51,35,18
1,51,36,17
3,51,36,18
2,51,37,18
6,24,32,14
8,24,33,14
7,24,34,14
4,24,35,14
3,24,36,14
5,24,36,15
2,24,37,14
1,24,37,15
0,10,39,14
16,42,32,10
17,42,32,11
14,42,32,12
15,42,33,10
18,42,33,11
13,42,33,12
12,42,34,10
10,42,34,11
11,42,34,12
8,42,35,10
9,42,35,11
6,42,35,12
7,42,36,10
4,42,36,11
5,42,36,12
1,42,37,10
2,42,37,11
3,42,37,12
0,50,38,0
3,28,21,25
2,28,21,24
1,28,22,24
4,28,22,25
4,1,24,24
6,1,24,25
7,1,24,26
1,1,24,27
5,1,25,24
3,1,25,25
2,1,25,26
11,37,31,21
5,37,32,20
10,37,32,21
6,37,33,20
12,37,33,21
4,37,34,20
13,37,34,21
2,37,35,20
8,37,35,21
9,37,35,22
1,37,36,20
3,37,36,21
7,37,36,22
5,45,36,24
4,45,35,24
3,45,34,24
7,45,36,25
2,45,35,25
1,45,36,26
6,45,35,26
14,13,28,22
9,13,29,22
11,13,28,23
6,13,29,23
5,13,30,23
7,13,31,23
3,13,28,24
13,13,29,24
4,13,30,24
10,13,31,24
2,13,28,25
8,13,29,25
1,13,30,25
12,13,31,25
1,12,27,27
2,12,28,27
5,12,29,27
11,12,32,27
3,12,30,27
4,12,31,27
6,12,33,27
12,12,29,28
14,12,30,28
15,12,31,28
10,12,32,28
7,12,33,28
13,12,29,29
16,12,30,29
17,12,31,29
9,12,32,29
8,12,33,29
19,12,29,30
25,12,30,30
20,12,31,30
21,12,32,30
18,12,33,30
26,12,29,31
27,12,30,31
24,12,31,31
23,12,32,31
22,12,33,31
2,25,38,2
1,25,38,3
3,25,39,2
5,25,39,3
6,25,40,2
7,25,40,3
8,25,41,2
4,25,41,3
9,25,42,3
5,9,38,5
4,9,38,6
1,9,39,5
3,9,39,6
2,9,40,5
1,44,42,5
2,44,42,6
23,36,30,7
27,36,31,6
26,36,31,7
25,36,32,6
11,36,32,7
22,36,33,4
24,36,33,5
10,36,33,6
7,36,33,7
21,36,34,4
13,36,34,5
12,36,34,6
9,36,34,7
20,36,35,3
18,36,35,4
16,36,35,5
15,36,35,6
8,36,35,7
19,36,36,3
17,36,36,4
14,36,36,5
6,36,36,6
5,36,36,7
4,36,36,8
3,36,37,8
2,36,38,8
1,36,39,8
2,34,39,12
1,34,40,12
3,34,41,12
4,34,42,12
7,34,39,11
12,34,40,11
6,34,41,11
8,34,42,11
5,34,39,10
11,34,40,10
10,34,41,10
9,34,42,10
0,0,38,1
