ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific,
Un,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,771925,0,0.4033,0.5967,0,607726,0.7498,0.2502,0.045,0.1548,0.0306,0.0192,0.0015,
2,771926,0,0.5839,0.4161,0,606852,0.6239,0.3761,0.0508,0.2434,0.0685,0.0156,0.0011,
3,771925,0,0.6041,0.3959,0,593206,0.6061,0.3939,0.0759,0.1841,0.1188,0.0183,0.0018,
4,771925,0,0.9176,0.0824,0,599171,0.1231,0.8769,0.2196,0.5978,0.0641,0.025,0.0018,
5,771924,0,0.6591,0.3409,0,597544,0.4565,0.5435,0.0604,0.4295,0.0423,0.0224,0.0022,
6,771926,0,0.53,0.47,0,600128,0.6357,0.3643,0.1163,0.139,0.0944,0.0197,0.0016,
7,771926,0,0.8192,0.1808,0,610826,0.3247,0.6753,0.0719,0.5473,0.0481,0.0184,0.0014,
8,771926,0,0.8119,0.1881,0,599749,0.4687,0.5313,0.1795,0.1824,0.1604,0.0172,0.0017,
Summary,771923,0,0.6561,0.3439,0,601900,0.4987,0.5013,0.1022,0.3101,0.0782,0.0194,0.0016,