county,district_112,district_118
Allamakee,1,2
Benton,1,2
Black_Hawk,1,2
Bremer,1,2
Buchanan,1,2
Clayton,1,2
Delaware,1,2
Dubuque,1,2
Fayette,1,2
Howard,1,2
Iowa,1,1
Jackson,1,1
Jones,1,1
Linn,1,2
Marshall,1,4
Mitchell,1,2
Poweshiek,1,2
Tama,1,2
Winneshiek,1,2
Worth,1,2
Appanoose,2,3
Cedar,2,1
Clarke,2,3
Clinton,2,1
Davis,2,3
Decatur,2,3
Des_Moines,2,1
Henry,2,1
Jasper,2,1
Jefferson,2,1
Johnson,2,1
Keokuk,2,1
Lee,2,1
Louisa,2,1
Lucas,2,3
Mahaska,2,1
Marion,2,1
Monroe,2,3
Muscatine,2,1
Scott,2,1
Van_Buren,2,1
Wapello,2,3
Washington,2,1
Wayne,2,3
Adair,3,3
Adams,3,3
Cass,3,3
Dallas,3,3
Fremont,3,4
Guthrie,3,3
Madison,3,3
Mills,3,4
Montgomery,3,3
Page,3,3
Polk,3,3
Pottawattamie,3,4
Ringgold,3,3
Taylor,3,3
Union,3,3
Warren,3,1
Audubon,4,4
Boone,4,4
Buena_Vista,4,4
Butler,4,2
Calhoun,4,4
Carroll,4,4
Cerro_Gordo,4,2
Cherokee,4,4
Chickasaw,4,2
Clay,4,4
Crawford,4,4
Dickinson,4,4
Emmet,4,4
Floyd,4,2
Franklin,4,4
Greene,4,3
Grundy,4,2
Hamilton,4,4
Hancock,4,4
Hardin,4,2
Harrison,4,4
Humboldt,4,4
Ida,4,4
Kossuth,4,4
Lyon,4,4
Monona,4,4
O'Brien,4,4
Osceola,4,4
Palo_Alto,4,4
Plymouth,4,4
Pocahontas,4,4
Sac,4,4
Shelby,4,4
Sioux,4,4
Story,4,4
Webster,4,4
Winnebago,4,4
Woodbury,4,4
Wright,4,4