FIPS,county,state
19001,Adair,IA
19003,Adams,IA
19005,Allamakee,IA
19007,Appanoose,IA
19009,Audubon,IA
19011,Benton,IA
19013,Black Hawk,IA
19015,Boone,IA
19017,Bremer,IA
19019,Buchanan,IA
19021,Buena Vista,IA
19023,Butler,IA
19025,Calhoun,IA
19027,Carroll,IA
19029,Cass,IA
19031,Cedar,IA
19033,Cerro Gordo,IA
19035,Cherokee,IA
19037,Chickasaw,IA
19039,Clarke,IA
19041,Clay,IA
19043,Clayton,IA
19045,Clinton,IA
19047,Crawford,IA
19049,Dallas,IA
19051,Davis,IA
19053,Decatur,IA
19055,Delaware,IA
19057,Des Moines,IA
19059,Dickinson,IA
19061,Dubuque,IA
19063,Emmet,IA
19065,Fayette,IA
19067,Floyd,IA
19069,Franklin,IA
19071,Fremont,IA
19073,Greene,IA
19075,Grundy,IA
19077,Guthrie,IA
19079,Hamilton,IA
19081,Hancock,IA
19083,Hardin,IA
19085,Harrison,IA
19087,Henry,IA
19089,Howard,IA
19091,Humboldt,IA
19093,Ida,IA
19095,Iowa,IA
19097,Jackson,IA
19099,Jasper,IA
19101,Jefferson,IA
19103,Johnson,IA
19105,Jones,IA
19107,Keokuk,IA
19109,Kossuth,IA
19111,Lee,IA
19113,Linn,IA
19115,Louisa,IA
19117,Lucas,IA
19119,Lyon,IA
19121,Madison,IA
19123,Mahaska,IA
19125,Marion,IA
19127,Marshall,IA
19129,Mills,IA
19131,Mitchell,IA
19133,Monona,IA
19135,Monroe,IA
19137,Montgomery,IA
19139,Muscatine,IA
19141,O Brien,IA
19143,Osceola,IA
19145,Page,IA
19147,Palo Alto,IA
19149,Plymouth,IA
19151,Pocahontas,IA
19153,Polk,IA
19155,Pottawattamie,IA
19157,Poweshiek,IA
19159,Ringgold,IA
19161,Sac,IA
19163,Scott,IA
19165,Shelby,IA
19167,Sioux,IA
19169,Story,IA
19171,Tama,IA
19173,Taylor,IA
19175,Union,IA
19177,Van Buren,IA
19179,Wapello,IA
19181,Warren,IA
19183,Washington,IA
19185,Wayne,IA
19187,Webster,IA
19189,Winnebago,IA
19191,Winneshiek,IA
19193,Woodbury,IA
19195,Worth,IA
19197,Wright,IA