ST#,PVI,metric,year,congress
AL1,R+12,0.56,2004,109
AL2,R+13,0.565,2004,109
AL3,R+4,0.52,2004,109
AL4,R+16,0.58,2004,109
AL5,R+6,0.53,2004,109
AL6,R+25,0.625,2004,109
AL7,D+17,0.415,2004,109
AKAL,R+14,0.57,2004,109
AZ1,R+2,0.51,2004,109
AZ2,R+9,0.545,2004,109
AZ3,R+6,0.53,2004,109
AZ4,D+14,0.43,2004,109
AZ5,R+4,0.52,2004,109
AZ6,R+12,0.56,2004,109
AZ7,D+10,0.45,2004,109
AZ8,R+1,0.505,2004,109
AR1,D+1,0.495,2004,109
AR2,R+0,0.5,2004,109
AR3,R+11,0.555,2004,109
AR4,D+0,0.5,2004,109
CA1,D+10,0.45,2004,109
CA2,R+13,0.565,2004,109
CA3,R+7,0.535,2004,109
CA4,R+11,0.555,2004,109
CA5,D+14,0.43,2004,109
CA6,D+21,0.395,2004,109
CA7,D+19,0.405,2004,109
CA8,D+36,0.32,2004,109
CA9,D+38,0.31,2004,109
CA10,D+9,0.455,2004,109
CA11,R+3,0.515,2004,109
CA12,D+22,0.39,2004,109
CA13,D+22,0.39,2004,109
CA14,D+18,0.41,2004,109
CA15,D+14,0.43,2004,109
CA16,D+16,0.42,2004,109
CA17,D+17,0.415,2004,109
CA18,D+3,0.485,2004,109
CA19,R+10,0.55,2004,109
CA20,D+5,0.475,2004,109
CA21,R+13,0.565,2004,109
CA22,R+16,0.58,2004,109
CA23,D+9,0.455,2004,109
CA24,R+5,0.525,2004,109
CA25,R+7,0.535,2004,109
CA26,R+4,0.52,2004,109
CA27,D+13,0.435,2004,109
CA28,D+25,0.375,2004,109
CA29,D+12,0.44,2004,109
CA30,D+20,0.4,2004,109
CA31,D+30,0.35,2004,109
CA32,D+17,0.415,2004,109
CA33,D+36,0.32,2004,109
CA34,D+23,0.385,2004,109
CA35,D+33,0.335,2004,109
CA36,D+11,0.445,2004,109
CA37,D+27,0.365,2004,109
CA38,D+20,0.4,2004,109
CA39,D+13,0.435,2004,109
CA40,R+8,0.54,2004,109
CA41,R+9,0.545,2004,109
CA42,R+10,0.55,2004,109
CA43,D+13,0.435,2004,109
CA44,R+6,0.53,2004,109
CA45,R+3,0.515,2004,109
CA46,R+6,0.53,2004,109
CA47,D+5,0.475,2004,109
CA48,R+8,0.54,2004,109
CA49,R+10,0.55,2004,109
CA50,R+5,0.525,2004,109
CA51,D+7,0.465,2004,109
CA52,R+9,0.545,2004,109
CA53,D+12,0.44,2004,109
CO1,D+18,0.41,2004,109
CO2,D+8,0.46,2004,109
CO3,R+6,0.53,2004,109
CO4,R+9,0.545,2004,109
CO5,R+16,0.58,2004,109
CO6,R+10,0.55,2004,109
CO7,D+2,0.49,2004,109
CT1,D+14,0.43,2004,109
CT2,D+8,0.46,2004,109
CT3,D+12,0.44,2004,109
CT4,D+5,0.475,2004,109
CT5,D+4,0.48,2004,109
DEAL,D+7,0.465,2004,109
FL1,R+19,0.595,2004,109
FL2,R+2,0.51,2004,109
FL3,D+16,0.42,2004,109
FL4,R+16,0.58,2004,109
FL5,R+5,0.525,2004,109
FL6,R+8,0.54,2004,109
FL7,R+3,0.515,2004,109
FL8,R+3,0.515,2004,109
FL9,R+4,0.52,2004,109
FL10,D+1,0.495,2004,109
FL11,D+11,0.445,2004,109
FL12,R+5,0.525,2004,109
FL13,R+4,0.52,2004,109
FL14,R+10,0.55,2004,109
FL15,R+4,0.52,2004,109
FL16,R+2,0.51,2004,109
FL17,D+35,0.325,2004,109
FL18,R+4,0.52,2004,109
FL19,D+21,0.395,2004,109
FL20,D+18,0.41,2004,109
FL21,R+6,0.53,2004,109
FL22,D+4,0.48,2004,109
FL23,D+29,0.355,2004,109
FL24,R+3,0.515,2004,109
FL25,R+4,0.52,2004,109
GA1,R+14,0.57,2004,109
GA2,D+2,0.49,2004,109
GA3,R+19,0.595,2004,109
GA4,D+22,0.39,2004,109
GA5,D+25,0.375,2004,109
GA6,R+19,0.595,2004,109
GA7,R+19,0.595,2004,109
GA8,R+8,0.54,2004,109
GA9,R+24,0.62,2004,109
GA10,R+14,0.57,2004,109
GA11,R+18,0.59,2004,109
GA12,D+2,0.49,2004,109
GA13,D+10,0.45,2004,109
HI1,D+7,0.465,2004,109
HI2,D+10,0.45,2004,109
ID1,R+19,0.595,2004,109
ID2,R+23,0.615,2004,109
IL1,D+35,0.325,2004,109
IL2,D+35,0.325,2004,109
IL3,D+10,0.45,2004,109
IL4,D+31,0.345,2004,109
IL5,D+18,0.41,2004,109
IL6,R+3,0.515,2004,109
IL7,D+35,0.325,2004,109
IL8,R+5,0.525,2004,109
IL9,D+20,0.4,2004,109
IL10,D+4,0.48,2004,109
IL11,R+1,0.505,2004,109
IL12,D+5,0.475,2004,109
IL13,R+5,0.525,2004,109
IL14,R+5,0.525,2004,109
IL15,R+6,0.53,2004,109
IL16,R+4,0.52,2004,109
IL17,D+5,0.475,2004,109
IL18,R+5,0.525,2004,109
IL19,R+8,0.54,2004,109
IN1,D+8,0.46,2004,109
IN2,R+4,0.52,2004,109
IN3,R+16,0.58,2004,109
IN4,R+17,0.585,2004,109
IN5,R+20,0.6,2004,109
IN6,R+11,0.555,2004,109
IN7,D+9,0.455,2004,109
IN8,R+9,0.545,2004,109
IN9,R+7,0.535,2004,109
IA1,D+5,0.475,2004,109
IA2,D+7,0.465,2004,109
IA3,D+1,0.495,2004,109
IA4,D+0,0.5,2004,109
IA5,R+8,0.54,2004,109
KS1,R+20,0.6,2004,109
KS2,R+7,0.535,2004,109
KS3,R+4,0.52,2004,109
KS4,R+12,0.56,2004,109
KY1,R+10,0.55,2004,109
KY2,R+13,0.565,2004,109
KY3,D+2,0.49,2004,109
KY4,R+12,0.56,2004,109
KY5,R+8,0.54,2004,109
KY6,R+7,0.535,2004,109
LA1,R+18,0.59,2004,109
LA2,D+28,0.36,2004,109
LA3,R+5,0.525,2004,109
LA4,R+7,0.535,2004,109
LA5,R+10,0.55,2004,109
LA6,R+7,0.535,2004,109
LA7,R+7,0.535,2004,109
ME1,D+6,0.47,2004,109
ME2,D+4,0.48,2004,109
MD1,R+10,0.55,2004,109
MD2,D+8,0.46,2004,109
MD3,D+7,0.465,2004,109
MD4,D+30,0.35,2004,109
MD5,D+9,0.455,2004,109
MD6,R+13,0.565,2004,109
MD7,D+25,0.375,2004,109
MD8,D+20,0.4,2004,109
MA1,D+15,0.425,2004,109
MA2,D+11,0.445,2004,109
MA3,D+11,0.445,2004,109
MA4,D+17,0.415,2004,109
MA5,D+9,0.455,2004,109
MA6,D+10,0.45,2004,109
MA7,D+18,0.41,2004,109
MA8,D+31,0.345,2004,109
MA9,D+15,0.425,2004,109
MA10,D+8,0.46,2004,109
MI1,R+2,0.51,2004,109
MI2,R+9,0.545,2004,109
MI3,R+9,0.545,2004,109
MI4,R+3,0.515,2004,109
MI5,D+12,0.44,2004,109
MI6,R+2,0.51,2004,109
MI7,R+2,0.51,2004,109
MI8,R+2,0.51,2004,109
MI9,R+0,0.5,2004,109
MI10,R+4,0.52,2004,109
MI11,R+1,0.505,2004,109
MI12,D+13,0.435,2004,109
MI13,D+32,0.34,2004,109
MI14,D+33,0.335,2004,109
MI15,D+13,0.435,2004,109
MN1,R+1,0.505,2004,109
MN2,R+3,0.515,2004,109
MN3,R+1,0.505,2004,109
MN4,D+13,0.435,2004,109
MN5,D+21,0.395,2004,109
MN6,R+5,0.525,2004,109
MN7,R+6,0.53,2004,109
MN8,D+4,0.48,2004,109
MS1,R+10,0.55,2004,109
MS2,D+10,0.45,2004,109
MS3,R+13,0.565,2004,109
MS4,R+16,0.58,2004,109
MO1,D+26,0.37,2004,109
MO2,R+9,0.545,2004,109
MO3,D+8,0.46,2004,109
MO4,R+11,0.555,2004,109
MO5,D+12,0.44,2004,109
MO6,R+5,0.525,2004,109
MO7,R+14,0.57,2004,109
MO8,R+11,0.555,2004,109
MO9,R+7,0.535,2004,109
MTAL,R+11,0.555,2004,109
NE1,R+11,0.555,2004,109
NE2,R+9,0.545,2004,109
NE3,R+24,0.62,2004,109
NV1,D+9,0.455,2004,109
NV2,R+8,0.54,2004,109
NV3,D+1,0.495,2004,109
NH1,R+0,0.5,2004,109
NH2,D+3,0.485,2004,109
NJ1,D+14,0.43,2004,109
NJ2,D+4,0.48,2004,109
NJ3,D+3,0.485,2004,109
NJ4,R+1,0.505,2004,109
NJ5,R+4,0.52,2004,109
NJ6,D+12,0.44,2004,109
NJ7,R+1,0.505,2004,109
NJ8,D+12,0.44,2004,109
NJ9,D+13,0.435,2004,109
NJ10,D+34,0.33,2004,109
NJ11,R+6,0.53,2004,109
NJ12,D+8,0.46,2004,109
NJ13,D+23,0.385,2004,109
NM1,D+2,0.49,2004,109
NM2,R+6,0.53,2004,109
NM3,D+6,0.47,2004,109
NY1,D+3,0.485,2004,109
NY2,D+7,0.465,2004,109
NY3,D+2,0.49,2004,109
NY4,D+9,0.455,2004,109
NY5,D+18,0.41,2004,109
NY6,D+38,0.31,2004,109
NY7,D+28,0.36,2004,109
NY8,D+28,0.36,2004,109
NY9,D+14,0.43,2004,109
NY10,D+41,0.295,2004,109
NY11,D+40,0.3,2004,109
NY12,D+34,0.33,2004,109
NY13,D+1,0.495,2004,109
NY14,D+26,0.37,2004,109
NY15,D+43,0.285,2004,109
NY16,D+43,0.285,2004,109
NY17,D+21,0.395,2004,109
NY18,D+10,0.45,2004,109
NY19,R+1,0.505,2004,109
NY20,R+3,0.515,2004,109
NY21,D+9,0.455,2004,109
NY22,D+6,0.47,2004,109
NY23,R+0,0.5,2004,109
NY24,R+1,0.505,2004,109
NY25,D+3,0.485,2004,109
NY26,R+3,0.515,2004,109
NY27,D+7,0.465,2004,109
NY28,D+15,0.425,2004,109
NY29,R+5,0.525,2004,109
NC1,D+9,0.455,2004,109
NC2,R+3,0.515,2004,109
NC3,R+15,0.575,2004,109
NC4,D+6,0.47,2004,109
NC5,R+15,0.575,2004,109
NC6,R+17,0.585,2004,109
NC7,R+3,0.515,2004,109
NC8,R+3,0.515,2004,109
NC9,R+12,0.56,2004,109
NC10,R+15,0.575,2004,109
NC11,R+7,0.535,2004,109
NC12,D+11,0.445,2004,109
NC13,D+2,0.49,2004,109
NDAL,R+13,0.565,2004,109
OH1,R+1,0.505,2004,109
OH2,R+13,0.565,2004,109
OH3,R+3,0.515,2004,109
OH4,R+14,0.57,2004,109
OH5,R+10,0.55,2004,109
OH6,D+0,0.5,2004,109
OH7,R+6,0.53,2004,109
OH8,R+12,0.56,2004,109
OH9,D+9,0.455,2004,109
OH10,D+6,0.47,2004,109
OH11,D+33,0.335,2004,109
OH12,R+1,0.505,2004,109
OH13,D+6,0.47,2004,109
OH14,R+2,0.51,2004,109
OH15,R+1,0.505,2004,109
OH16,R+4,0.52,2004,109
OH17,D+14,0.43,2004,109
OH18,R+6,0.53,2004,109
OK1,R+13,0.565,2004,109
OK2,R+5,0.525,2004,109
OK3,R+18,0.59,2004,109
OK4,R+13,0.565,2004,109
OK5,R+12,0.56,2004,109
OR1,D+6,0.47,2004,109
OR2,R+11,0.555,2004,109
OR3,D+18,0.41,2004,109
OR4,D+0,0.5,2004,109
OR5,D+1,0.495,2004,109
PA1,D+36,0.32,2004,109
PA2,D+39,0.305,2004,109
PA3,R+2,0.51,2004,109
PA4,R+3,0.515,2004,109
PA5,R+10,0.55,2004,109
PA6,D+2,0.49,2004,109
PA7,D+4,0.48,2004,109
PA8,D+3,0.485,2004,109
PA9,R+15,0.575,2004,109
PA10,R+8,0.54,2004,109
PA11,D+5,0.475,2004,109
PA12,D+5,0.475,2004,109
PA13,D+8,0.46,2004,109
PA14,D+22,0.39,2004,109
PA15,D+2,0.49,2004,109
PA16,R+11,0.555,2004,109
PA17,R+7,0.535,2004,109
PA18,R+2,0.51,2004,109
PA19,R+12,0.56,2004,109
RI1,D+16,0.42,2004,109
RI2,D+13,0.435,2004,109
SC1,R+10,0.55,2004,109
SC2,R+9,0.545,2004,109
SC3,R+14,0.57,2004,109
SC4,R+15,0.575,2004,109
SC5,R+6,0.53,2004,109
SC6,D+11,0.445,2004,109
SDAL,R+10,0.55,2004,109
TN1,R+14,0.57,2004,109
TN2,R+11,0.555,2004,109
TN3,R+8,0.54,2004,109
TN4,R+3,0.515,2004,109
TN5,D+6,0.47,2004,109
TN6,R+4,0.52,2004,109
TN7,R+12,0.56,2004,109
TN8,D+0,0.5,2004,109
TN9,D+18,0.41,2004,109
TX1,R+17,0.585,2004,109
TX2,R+12,0.56,2004,109
TX3,R+17,0.585,2004,109
TX4,R+17,0.585,2004,109
TX5,R+16,0.58,2004,109
TX6,R+15,0.575,2004,109
TX7,R+16,0.58,2004,109
TX8,R+20,0.6,2004,109
TX9,D+21,0.395,2004,109
TX10,R+13,0.565,2004,109
TX11,R+25,0.625,2004,109
TX12,R+14,0.57,2004,109
TX13,R+18,0.59,2004,109
TX14,R+14,0.57,2004,109
TX15,D+3,0.485,2004,109
TX16,D+9,0.455,2004,109
TX17,R+18,0.59,2004,109
TX18,D+23,0.385,2004,109
TX19,R+25,0.625,2004,109
TX20,D+8,0.46,2004,109
TX21,R+13,0.565,2004,109
TX22,R+15,0.575,2004,109
TX23,R+4,0.52,2004,109
TX24,R+15,0.575,2004,109
TX25,D+1,0.495,2004,109
TX26,R+12,0.56,2004,109
TX27,R+1,0.505,2004,109
TX28,R+1,0.505,2004,109
TX29,D+8,0.46,2004,109
TX30,D+26,0.37,2004,109
TX31,R+15,0.575,2004,109
TX32,R+11,0.555,2004,109
UT1,R+26,0.63,2004,109
UT2,R+17,0.585,2004,109
UT3,R+22,0.61,2004,109
VTAL,D+8,0.46,2004,109
VA1,R+9,0.545,2004,109
VA2,R+6,0.53,2004,109
VA3,D+18,0.41,2004,109
VA4,R+5,0.525,2004,109
VA5,R+6,0.53,2004,109
VA6,R+11,0.555,2004,109
VA7,R+11,0.555,2004,109
VA8,D+14,0.43,2004,109
VA9,R+7,0.535,2004,109
VA10,R+5,0.525,2004,109
VA11,R+1,0.505,2004,109
WA1,D+7,0.465,2004,109
WA2,D+3,0.485,2004,109
WA3,D+0,0.5,2004,109
WA4,R+13,0.565,2004,109
WA5,R+7,0.535,2004,109
WA6,D+6,0.47,2004,109
WA7,D+30,0.35,2004,109
WA8,D+2,0.49,2004,109
WA9,D+6,0.47,2004,109
WV1,R+6,0.53,2004,109
WV2,R+5,0.525,2004,109
WV3,D+0,0.5,2004,109
WI1,R+2,0.51,2004,109
WI2,D+13,0.435,2004,109
WI3,D+3,0.485,2004,109
WI4,D+20,0.4,2004,109
WI5,R+12,0.56,2004,109
WI6,R+5,0.525,2004,109
WI7,D+2,0.49,2004,109
WI8,D+0,0.5,2004,109
WYAL,R+19,0.595,2004,109
